cntry,female,agea,eduyrs,race_intel,race_work,race_better,freq_contact
DE,1,57,14,0,1,1,1
DE,1,26,16,0,0,0,1
DE,0,48,13,0,0,0,1
DE,1,58,17,0,0,NA,1
DE,0,57,22,0,0,0,1
DE,1,60,17,0,0,0,1
DE,0,64,17,0,1,0,1
DE,0,35,13,0,0,0,1
DE,1,83,8,0,NA,1,1
DE,1,64,11,0,1,0,0
DE,0,47,14,0,1,NA,0
DE,1,71,8,1,0,NA,0
DE,0,61,11,0,0,NA,1
DE,1,79,8,1,1,1,1
DE,0,62,15,0,0,0,1
DE,0,27,13,0,0,0,1
DE,1,77,8,NA,NA,0,0
DE,1,31,13,1,0,1,1
DE,0,73,18,0,1,0,1
DE,1,36,30,0,0,0,1
DE,0,19,12,0,0,0,1
DE,0,NA,12,0,1,0,1
DE,0,63,20,1,1,1,1
DE,0,36,14,1,1,0,1
DE,1,24,15,0,0,0,1
DE,0,53,14,0,0,0,1
DE,1,56,13,0,0,1,1
DE,1,81,13,1,1,1,1
DE,0,53,14,0,0,0,1
DE,0,79,10,0,1,1,0
DE,1,58,20,0,0,0,1
DE,1,17,11,0,0,1,1
DE,1,27,17,0,0,0,1
DE,0,54,19,0,0,0,1
DE,1,60,14,0,0,0,0
DE,0,69,12,0,0,0,0
DE,1,59,13,0,0,1,1
DE,0,19,13,0,0,0,1
DE,1,44,15,0,0,0,1
DE,0,66,12,0,1,0,1
DE,0,47,10,1,1,1,1
DE,0,43,17,0,1,0,1
DE,0,75,14,0,NA,1,1
DE,0,22,14,0,0,0,1
DE,0,22,15,0,1,0,0
DE,0,34,16,0,0,1,1
DE,0,53,14,1,1,0,1
DE,1,34,13,0,0,1,0
DE,0,46,20,0,1,0,1
DE,0,62,14,0,1,1,1
DE,0,28,19,0,1,1,1
DE,0,79,10,0,1,1,1
DE,1,16,10,0,0,1,1
DE,0,15,9,0,0,1,1
DE,0,66,13,0,0,1,0
DE,1,30,20,0,0,0,1
DE,1,57,20,0,1,1,0
DE,0,22,12,1,1,0,1
DE,1,24,15,0,0,0,1
DE,0,72,14,0,0,0,1
DE,0,58,13,0,1,1,1
DE,1,73,9,0,0,1,1
DE,0,25,14,0,1,0,1
DE,0,47,12,0,1,NA,1
DE,1,49,10,0,1,0,1
DE,0,28,10,0,1,0,1
DE,1,20,14,0,1,0,1
DE,1,54,14,0,0,0,1
DE,0,70,12,0,0,0,1
DE,1,61,19,0,0,0,0
DE,1,41,13,0,1,0,1
DE,1,59,11,1,1,1,1
DE,1,60,14,0,1,1,1
DE,1,67,12,0,0,NA,0
DE,0,64,12,0,0,0,1
DE,0,62,12,0,0,0,1
DE,0,47,22,0,0,1,1
DE,1,58,12,0,0,0,1
DE,0,59,12,0,1,0,0
DE,1,55,14,0,0,0,1
DE,0,25,17,0,0,0,1
DE,0,59,13,0,0,1,1
DE,0,49,14,1,1,1,1
DE,0,58,13,0,0,0,1
DE,1,19,13,0,1,1,0
DE,1,61,13,0,0,1,1
DE,1,93,13,0,1,0,0
DE,1,46,10,0,1,0,1
DE,1,42,18,0,0,0,1
DE,0,37,15,NA,NA,NA,0
DE,1,77,9,0,0,1,1
DE,0,23,15,0,0,0,1
DE,0,58,13,0,0,NA,0
DE,0,86,11,1,1,0,1
DE,0,67,20,0,0,1,1
DE,1,27,16,0,0,0,1
DE,0,52,21,0,0,0,1
DE,0,51,13,0,0,0,1
DE,1,59,11,0,0,0,1
DE,0,65,14,0,0,1,0
DE,1,62,13,0,0,0,1
DE,0,46,18,0,0,1,1
DE,0,72,17,0,1,0,1
DE,0,50,14,1,1,0,1
DE,0,57,20,1,1,1,1
DE,1,36,18,0,0,0,0
DE,1,55,13,0,1,0,1
DE,1,61,15,0,0,1,0
DE,0,28,16,0,0,0,1
DE,1,29,16,0,1,1,1
DE,0,29,16,0,0,0,1
DE,0,28,13,0,0,0,1
DE,1,31,16,0,1,0,1
DE,0,55,12,0,0,NA,1
DE,1,65,8,0,0,0,1
DE,0,22,15,0,0,0,1
DE,1,50,11,0,0,0,1
DE,0,65,17,NA,NA,1,1
DE,1,17,10,0,0,0,1
DE,1,50,15,0,1,1,1
DE,0,54,13,0,1,0,1
DE,0,70,9,0,1,1,1
DE,0,44,12,0,1,NA,1
DE,0,56,21,0,1,1,1
DE,0,22,15,0,1,1,1
DE,0,79,12,0,1,0,1
DE,0,60,12,0,1,0,1
DE,0,21,16,0,0,0,1
DE,0,27,17,0,1,1,1
DE,1,17,10,0,0,0,1
DE,0,49,11,0,0,0,1
DE,1,56,11,0,0,1,1
DE,1,74,22,0,0,0,1
DE,1,37,22,0,0,NA,1
DE,1,42,16,0,0,0,1
DE,0,25,9,0,0,0,0
DE,0,52,12,0,1,1,1
DE,0,58,19,0,1,NA,1
DE,1,51,14,0,0,0,1
DE,1,71,14,0,1,0,0
DE,1,54,14,0,1,0,1
DE,1,40,12,NA,0,NA,1
DE,0,20,10,0,1,0,0
DE,0,77,11,0,0,0,1
DE,0,18,13,0,1,0,1
DE,0,47,15,0,0,0,1
DE,1,18,12,0,1,1,0
DE,1,62,11,0,0,0,1
DE,1,51,15,0,1,1,0
DE,1,69,13,0,1,1,1
DE,1,52,17,0,0,0,1
DE,0,37,17,0,0,0,1
DE,1,51,13,0,0,0,1
DE,1,82,8,0,0,0,1
DE,0,87,9,0,0,NA,0
DE,1,26,18,0,0,0,1
DE,0,75,13,0,0,1,0
DE,0,64,17,0,0,0,1
DE,1,48,13,0,1,0,1
DE,0,18,8,1,1,1,1
DE,0,28,19,0,0,0,1
DE,0,84,8,0,0,0,0
DE,1,70,17,0,0,0,1
DE,0,24,9,0,0,1,1
DE,0,17,10,0,0,0,1
DE,1,22,15,0,1,1,1
DE,0,58,13,0,1,0,0
DE,0,46,10,0,0,0,1
DE,0,19,12,0,NA,NA,1
DE,0,77,10,0,1,1,0
DE,1,78,11,0,1,1,1
DE,1,52,12,0,1,1,1
DE,0,67,21,0,1,0,1
DE,0,50,15,0,1,0,1
DE,0,53,20,0,0,1,1
DE,0,46,12,0,1,1,0
DE,0,25,17,0,1,0,1
DE,0,50,15,0,1,0,0
DE,1,62,11,0,0,0,0
DE,0,55,20,0,0,0,1
DE,0,59,16,0,0,1,0
DE,0,73,14,0,0,0,0
DE,1,41,10,0,0,0,1
DE,0,79,9,0,1,0,0
DE,0,53,20,0,0,0,1
DE,1,81,14,0,0,0,0
DE,1,59,19,0,0,0,1
DE,1,59,18,0,1,0,1
DE,1,73,12,0,0,1,1
DE,1,77,10,0,1,0,0
DE,1,62,12,0,0,0,1
DE,0,38,18,0,0,0,1
DE,1,43,12,0,0,0,1
DE,1,57,19,0,0,0,1
